Name	Top	Heart	Base	Label
Sara Flame	Cedar_Leaves,Rose_(may_Rose_Or_Rose_De_Mai),Iris,Calone	Powder_Power_Accord,Musk_(skin_Accord),Woods_(sheer)	Cherry_(amarena),Spearmint,Musks	Losing
Erica Aura	Apple_(red),Ylang-ylang,Melon,Rosewood	Rose_(cherokee),Amber_(white),Aromatic_Notes	Violet_Leaves,Pineapple	Losing
Fantasy_Perfume_By_Britney_Spears	Kiwi,Lychee,Quince	Jasmine,Orchid_(white_Chocolate),Cupcake_Accord	Iris_(orris),Woody_Notes,Musk_(creamy)	Winning
Joy_Perfume_By_Jean_Patou	Rose_(bulgarian),Tuberose,Ylang-ylang	Jasmine,Rose_(may_Rose_Or_Rose_De_Mai)	Civet,Musk	Winning
Crystal Flame	Olibanum,Cashmeran,Tea_(green)	Wood_(white),Cotton_Candy,Rosewood	Oak_Moss,Iris_(orris)	Losing
Grey_Flannel_Cologne_By_Geoffrey_Beene	Bergamot,Lemon,Orange,Neroli,Galbanum,Violet_Leaves,Sage	Iris_(orris),Jasmine,Mimosa,Rose,Violet,Ylang-ylang,Cinnamon,Clove	Sandalwood,Oakmoss,Musk	Winning
John Mist	Marigold_(tagete)	Sandalwood_(australian),Tea_(green),Peach,Fruity_Accord	Amber(parfum),Olibanum	Losing
Hugo_Cologne_By_Hugo_Boss	Bergamot,Grapefruit,Cedar_Leaves,Pine_Needles,Basil,Mint,Thyme,Apple_(green)	Geranium,Jasmine,Lavender,Clove,Aromatic_Notes,Sage	Cedarwood,Patchouli,Sandalwood,Suede,Vetiver,Oakmoss,Musk-like_Notes,Fir_Balsam	Winning
Narciso_Rodriguez_Perfume_By_Narciso_Rodriguez	Floral_Honey_Accord,Orange_Blossom,Pink_Floral_Accord,Chypre_(pink)	Amber_Light_Accord,Amber,Musk_(soft),Vanilla	Tactile_Woods_Accord,Woods_(sheer),Musk	Winning
Maja_Perfume_By_Myrurgia	Bergamot,Orange,Nutmeg	Geranium,Rose_(bulgarian),Tuberose,Clove,Nutmeg	Patchouli,Vetiver,Oakmoss,Amber,Vanilla	Winning
L'eau_D'issey_(issey_Miyake)_Cologne_By_Issey_Miyake	Mandarin,Yuzu,Verbena,Cypress,Coriander,Sage	Geranium,Waterlily_(blue),Cinnamon,Nutmeg,Saffron	Sandalwood,Vetiver,Amber,Musk,Tobacco	Winning
Armani_Code_Cologne_By_Giorgio_Armani	Bergamot,Lemon	Olive_Flower	Guaiac_Wood,Tonka_Bean	Winning
Derek Essence	Waterlily,Ozonic_Accord	Coriander,Oakmoss_Amber_(white),Vanilla	Orange_Blossom,Saffron	Losing
Kenneth Aura	Blackcurrant_Buds_(cassis),Narcissus,Orange	Vanillin	Exotic_Woods,Musk_(soft),Dewberry,Sultry_Woods	Losing
Alien_Perfume_By_Thierry_Mugler	Jasmine_(sambac),Cardamom	Orange_Blossom,Cumin,Cashmeran	Amber_(white),Heliotrope	Winning
Daniel Aura	Juniper_Berries,Karo_Karounde,Civet,Musk_(skin_2000_Accord)	Aldehydes	Guaiac_Wood,Raspberry,Diamante_Citron,Pinkpepper	Losing
Richard Flame	Clove,Rhubarb,Violet_(parma),Lily_(white)	Celery_Seed,Leather,Lush_Green_Accord,Amber_Spice_Accord	Oakmoss	Losing
Light_Blue_Perfume_By_Dolce_&_Gabbana	Sicilian_Lemon,Apple,Cedar,Bellflower	Bamboo,Jasmine,White_Rose	Cedar,Musk,Amber	Winning
The_One_Cologne_By_Dolce_&_Gabbana	Grapefruit,Coriander_And_Basil	Ginger,Cardamom,Orange_Blossom	Amber,Tobacco,Cedar	Winning
Jennifer Essence	Musk_(sheer),Karo_Karounde,Leaves_(ivy),Violet	Sage,Raspberry	Opopanax,Dewberry	Losing
Mark Flame	Strawberry	Leaves_(ivy),Vanilla,Cedarwood,Musks	Peppermint,Cyclosal,Aldehydes	Losing
Veronica Whisper	Licorice	Cedarwood	Grapefruit,Apple_(red),Violet_Leaves,Rose_(white)	Losing
David Whisper	Calabrian_Bergamot,Cashmeran	Berries_(wild)	Yuzu,Leather,Heliotrope	Losing
Cathy Whisper	Artemisia_(armoise),Pepper_(black),Calone	Tactile_Woods_Accord,Osmanthus,Helional	Musk-like_Notes,Waterlily,Spice_Notes	Losing
Lisa Essence	Orchid_(crystallised),Agar_Or_Aloeswood)	Fir_Balsam,Blood_Orange,Amber_Spice_Accord	Cucumber,Tactile_Woods_Accord,Kashmir_Wood_Note,Leaves_(ivy)	Losing
Canoe_Cologne_By_Dana	Bergamot,Lemon,Lavender,Clary_Sage	Geranium,Clove,Cedarwood	Oakmoss,Musk,Heliotrope,Vanilla	Winning
Versace_Yellow_Diamond_Perfume_By_Versace	Bergamot,Lemon,Neroli,Pear_Sorbet	Freesia,Mimosa,Orange_Blossom,Waterlily	Guaiac_Wood,Amber,Musk	Winning
Gary Flame	Cistus_Labdanum_(rockrose),Floral_Energy_Accord,Suede	Chypre_(pink),Lily_(madonna),Lily_(white),Clary_Sage	Sage,Violet_Leaf	Losing
Matthew Mist	Sandalwood,Peach_Nectar,Strawberry	Pepper_(black),Apple,Anise_(aniseed)	Green,Oak_Moss,Almond(parfum),Berries_(wild)	Losing
Jessica_Mc_Clintock_Perfume_By_Jessica_McClintock	Bergamot,Ylang-ylang,Basil,Blackcurrant_Buds_(cassis)	Lily_Of_The_Valley_(muguet),Rose	Woody_Notes,Musk	Winning
Flowerbomb_Perfume_By_Viktor_&_Rolf	Bergamot,Tea	Freesia,Jasmine_(sambac),Orange_Blossom,Orchid_(cattleya),Rose_(rosa_Centifolia)	Patchouli	Winning
Scott Mist	Musks	Raspberry	Green	Losing
Obsession_Cologne_By_Calvin_Klein	Bergamot,Mandarin	Lavender,Clove,Myrrh,Nutmeg,Coriander,Sage	Patchouli,Sandalwood,Vetiver,Amber	Winning
Christopher Aura	Papaya	Plum,Celery_Seed,Jasmine_(sambac)	Angelica_Root	Losing
Timothy Essence	Quince,Cedar,Helional	Cashmere_Accord,Cardamom	Citrus_Accord,Rosemary	Losing
Jessica Whisper	Rose_(rosa_Centifolia),Suede,Green	Lemon_Peel,Linden_Blossom	Hyacinth,Chypre_(pink)	Losing
